Epoch	Learning Rate	Train Loss	Train Acc.	Test Loss	Test Acc.	
1.000000	0.100000	3.475617	0.103960	0.000000	0.000000	
2.000000	0.100000	3.074083	0.170520	0.000000	0.000000	
3.000000	0.100000	2.843150	0.220800	0.000000	0.000000	
4.000000	0.100000	2.617044	0.275400	0.000000	0.000000	
5.000000	0.100000	2.393182	0.323760	0.000000	0.000000	
6.000000	0.100000	2.189777	0.374400	0.000000	0.000000	
7.000000	0.100000	1.981927	0.426080	0.000000	0.000000	
8.000000	0.100000	1.806228	0.466680	0.000000	0.000000	
9.000000	0.100000	1.650552	0.512560	0.000000	0.000000	
10.000000	0.100000	1.533376	0.542840	0.000000	0.000000	
11.000000	0.100000	1.405945	0.579360	0.000000	0.000000	
12.000000	0.100000	1.306173	0.600120	0.000000	0.000000	
13.000000	0.100000	1.228572	0.621880	0.000000	0.000000	
14.000000	0.100000	1.143271	0.644480	0.000000	0.000000	
15.000000	0.100000	1.076690	0.666320	0.000000	0.000000	
16.000000	0.100000	1.006999	0.686200	0.000000	0.000000	
17.000000	0.100000	0.951584	0.703040	0.000000	0.000000	
18.000000	0.100000	0.885368	0.722200	0.000000	0.000000	
19.000000	0.100000	0.855217	0.728160	0.000000	0.000000	
20.000000	0.100000	0.805789	0.744680	0.000000	0.000000	
21.000000	0.100000	0.757426	0.759200	0.000000	0.000000	
22.000000	0.100000	0.718693	0.774520	0.000000	0.000000	
23.000000	0.100000	0.682549	0.783560	0.000000	0.000000	
24.000000	0.100000	0.659040	0.788040	0.000000	0.000000	
25.000000	0.100000	0.624565	0.801120	0.000000	0.000000	
26.000000	0.100000	0.611443	0.804040	0.000000	0.000000	
27.000000	0.100000	0.578040	0.814360	0.000000	0.000000	
28.000000	0.100000	0.565102	0.817880	0.000000	0.000000	
29.000000	0.100000	0.541588	0.824240	0.000000	0.000000	
30.000000	0.100000	0.509478	0.833520	0.000000	0.000000	
31.000000	0.010000	0.294247	0.911560	0.000000	0.000000	
32.000000	0.010000	0.190508	0.949840	0.000000	0.000000	
33.000000	0.010000	0.161762	0.958720	0.000000	0.000000	
34.000000	0.010000	0.138576	0.964320	0.000000	0.000000	
35.000000	0.010000	0.120253	0.973080	0.000000	0.000000	
36.000000	0.010000	0.108894	0.974960	0.000000	0.000000	
37.000000	0.010000	0.098843	0.978560	0.000000	0.000000	
38.000000	0.010000	0.089968	0.982360	0.000000	0.000000	
39.000000	0.010000	0.081171	0.984400	0.000000	0.000000	
40.000000	0.010000	0.075869	0.985640	0.000000	0.000000	
41.000000	0.010000	0.067979	0.987800	0.000000	0.000000	
42.000000	0.010000	0.063135	0.989680	0.000000	0.000000	
43.000000	0.010000	0.058244	0.990800	0.000000	0.000000	
